ems_call,MedFacilitiesCount2mi,PharmCount2mi,DrugDropCount2mi,NaloxoneDistribCount2mi
3,17,18,1,7
1,17,18,1,7
1,17,18,1,7
3,17,18,1,7
3,17,18,1,7
3,17,18,1,7
1,17,18,1,7
1,17,18,1,7
3,17,18,1,7
3,17,18,1,7
3,17,18,1,7
1,17,18,1,7
1,17,18,1,7
2,17,18,1,7
2,17,18,1,7
1,15,13,0,5
1,15,13,0,5
2,15,13,0,5
2,15,13,0,5
1,15,13,0,5
1,15,13,0,5
1,15,13,0,5
1,15,13,0,5
2,15,13,0,5
2,15,13,0,5
1,15,13,0,5
1,15,13,0,5
1,5,3,2,1
2,5,3,2,1
2,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
1,5,3,2,1
2,5,3,2,1
2,5,3,2,1
1,14,14,0,3
1,14,14,0,3
1,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
3,24,18,2,7
3,24,18,2,7
3,24,18,2,7
1,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
1,24,18,2,7
4,24,18,2,7
4,24,18,2,7
4,24,18,2,7
4,24,18,2,7
1,24,18,2,7
2,24,18,2,7
2,24,18,2,7
1,24,18,2,7
1,24,18,2,7
4,24,18,2,7
4,24,18,2,7
4,24,18,2,7
4,24,18,2,7
3,24,18,2,7
3,24,18,2,7
3,24,18,2,7
3,24,18,2,7
3,24,18,2,7
3,24,18,2,7
1,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,24,18,2,7
2,17,16,0,8
2,17,16,0,8
1,17,16,0,8
2,17,16,0,8
2,17,16,0,8
1,17,16,0,8
2,17,16,0,8
2,17,16,0,8
2,17,16,0,8
2,17,16,0,8
2,17,16,0,8
2,17,16,0,8
2,24,14,1,6
2,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
2,24,14,1,6
2,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,24,14,1,6
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,36,9,1,4
1,19,13,0,3
1,19,13,0,3
1,19,13,0,3
3,19,13,0,3
3,19,13,0,3
3,19,13,0,3
2,19,13,0,3
2,19,13,0,3
1,19,13,0,3
1,24,12,0,6
1,24,12,0,6
1,24,12,0,6
1,24,12,0,6
1,24,12,0,6
2,24,12,0,6
2,24,12,0,6
1,8,14,0,3
1,8,14,0,3
1,8,14,0,3
1,8,14,0,3
1,11,14,0,5
1,11,14,0,5
2,11,14,0,5
2,11,14,0,5
1,11,14,0,5
1,11,14,0,5
1,11,14,0,5
1,11,14,0,5
1,11,14,0,5
1,11,14,0,5
1,16,13,0,4
1,16,13,0,4
1,16,13,0,4
1,15,12,1,6
1,19,13,0,3
1,19,13,0,3
1,19,13,0,3
1,19,13,0,3
1,19,13,0,3
1,19,13,0,3
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
2,11,7,4,5
2,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
5,11,7,4,5
1,11,7,4,5
2,11,7,4,5
2,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
4,11,7,4,5
4,11,7,4,5
4,11,7,4,5
4,11,7,4,5
1,11,7,4,5
2,11,7,4,5
2,11,7,4,5
7,11,7,4,5
7,11,7,4,5
7,11,7,4,5
7,11,7,4,5
7,11,7,4,5
7,11,7,4,5
7,11,7,4,5
2,11,7,4,5
2,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
4,11,7,4,5
4,11,7,4,5
4,11,7,4,5
4,11,7,4,5
2,11,7,4,5
2,11,7,4,5
1,11,7,4,5
2,11,7,4,5
2,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
6,11,7,4,5
2,11,7,4,5
2,11,7,4,5
1,11,7,4,5
2,11,7,4,5
2,11,7,4,5
1,11,7,4,5
1,11,7,4,5
1,11,7,4,5
3,11,7,4,5
3,11,7,4,5
3,11,7,4,5
2,11,7,4,5
2,11,7,4,5
2,13,9,4,4
2,13,9,4,4
2,13,9,4,4
2,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
4,13,9,4,4
4,13,9,4,4
4,13,9,4,4
4,13,9,4,4
2,13,9,4,4
2,13,9,4,4
1,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
1,13,9,4,4
2,13,9,4,4
2,13,9,4,4
1,13,9,4,4
1,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
1,13,9,4,4
4,13,9,4,4
4,13,9,4,4
4,13,9,4,4
4,13,9,4,4
5,13,9,4,4
5,13,9,4,4
5,13,9,4,4
5,13,9,4,4
5,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
1,13,9,4,4
1,13,9,4,4
1,13,9,4,4
1,13,9,4,4
1,13,9,4,4
1,13,9,4,4
2,13,9,4,4
2,13,9,4,4
2,13,9,4,4
2,13,9,4,4
3,13,9,4,4
3,13,9,4,4
3,13,9,4,4
1,13,9,4,4
2,13,9,4,4
2,13,9,4,4
4,29,13,1,6
4,29,13,1,6
4,29,13,1,6
4,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
2,29,13,1,6
2,29,13,1,6
2,29,13,1,6
2,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
1,29,13,1,6
2,29,13,1,6
2,29,13,1,6
1,29,13,1,6
1,32,16,1,8
2,32,16,1,8
2,32,16,1,8
2,32,16,1,8
2,32,16,1,8
1,32,16,1,8
1,32,16,1,8
2,32,16,1,8
2,32,16,1,8
2,32,16,1,8
2,32,16,1,8
1,32,16,1,8
2,32,16,1,8
2,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,32,16,1,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,48,17,2,8
1,13,14,0,3
1,13,14,0,3
1,12,5,1,0
1,12,5,1,0
1,12,5,1,0
