,Location,City,Zip,Lat,Lon,geometry
0,Mesa Police Department Fiesta Station,MESA,85210,33.390348,-111.854271,POINT (-111.854271 33.390348)
1,Scottsdale Police Department McKellips District,SCOTTSDALE,85257,33.451119,-111.917749,POINT (-111.917749 33.451119)
2,Tempe Police Department,TEMPE,85281,33.425654,-111.937831,POINT (-111.937831 33.425654)
3,Tempe Police Department,TEMPE,85281,33.414566,-111.905799,POINT (-111.905799 33.414566)
4,Walgreens #1197,TEMPE,85282,33.392813,-111.910286,POINT (-111.910286 33.392813)
5,ASU Police,TEMPE,85281,33.414499,-111.93305,POINT (-111.93305 33.414499)
6,Walgreens #3163,SCOTTSDALE,85251,33.488055,-111.926399,POINT (-111.926399 33.488055)
7,CVS #5315,CHANDLER,85224,33.3358587,-111.8756453,POINT (-111.8756453 33.3358587)
