,Name,FullAddr,City,Lat,Long,geometry
0,Walgreens,1601 MONMOUTH ST,NEWPORT,39.0840540384327,-84.484237415156,POINT (-84.484237415156 39.0840540384327)
1,CVS Pharmacy,160 PAVILION PKWY,NEWPORT,39.088085,-84.477893,POINT (-84.47789299999999 39.088085)
2,Walgreens,1220 MADISON AVE,COVINGTON,39.0773939183673,-84.5084347346939,POINT (-84.50843473469391 39.0773939183673)
3,CVS Pharmacy,2001 MADISON AVE.,COVINGTON,39.0664765,-84.50645475,POINT (-84.50645475 39.0664765)
4,Walgreens,606 BUTTERMILK PIKE,CRESCENT SPRINGS,39.052425158496,-84.5777814377942,POINT (-84.5777814377942 39.052425158496)
5,Walgreens,2840 ALEXANDRIA PIKE,HIGHLAND HEIGHTS,39.053522,-84.4487,POINT (-84.4487 39.053522)
