,OBJECTID,Site,Shape__Area,Shape__Length,geometry
0,1,TP03,198944870.587463,83586.03200865,"POLYGON ((-111.956618962565 33.3860358074912, -111.956605433131 33.3855583422104, -111.956268986804 33.3855585086161, -111.95374761384 33.3851647724771, -111.950176539807 33.385139002518, -111.943488308257 33.3851442292258, -111.943470541065 33.3782213399472, -111.943468651082 33.3764288305163, -111.94313802761 33.3760571586695, -111.943137690335 33.3758874798497, -111.94206514416 33.3744554349193, -111.941856939177 33.3741579093478, -111.941403906005 33.3734521538846, -111.941146308465 33.3730073997677, -111.939588810826 33.3698473566041, -111.93946749214 33.3698534438664, -111.938184280002 33.3672944314003, -111.93765580632 33.3658040181707, -111.93657728783 33.365563523738, -111.936785502722 33.3649036823737, -111.936791173114 33.3637117276722, -111.937551573122 33.3637092279049, -111.938146118815 33.3578415491474, -111.938145699461 33.3566502487288, -111.938142365351 33.3564361396479, -111.943148086718 33.3563788763708, -111.943380385912 33.3553778744528, -111.944180822243 33.352924269592, -111.938152162351 33.3528478508079, -111.938131160982 33.3513370857217, -111.938978196296 33.3482135417986, -111.94089465669 33.3403790922185, -111.942525843606 33.3346246299941, -111.943105349408 33.3325483273081, -111.944544994299 33.3302864927051, -111.945804533396 33.3272917868116, -111.950158407629 33.3272797804342, -111.950419479478 33.3271932916629, -111.95041940886 33.3271689299181, -111.950935076477 33.3271674731474, -111.95112965436 33.3272768394168, -111.952989647139 33.3272715728197, -111.953338802723 33.3272705802524, -111.955719790521 33.3200880537716, -111.959853087376 33.3201116807041, -111.961811569017 33.3200466305429, -111.962927110798 33.3200499659657, -111.962927315447 33.3201323930878, -111.963107345131 33.3201335044782, -111.963107130949 33.3200455732564, -111.963270792863 33.3200465742046, -111.963304313438 33.327131880948, -111.972250837189 33.3270674397614, -111.972217938208 33.3344695292308, -111.972238190076 33.3386541875645, -111.972253152399 33.3417452992609, -111.972405380147 33.3490196863639, -111.971784971244 33.3530423759945, -111.971039130296 33.3563507732788, -111.970104182011 33.3601050366158, -111.967498992019 33.3601287995205, -111.967491845172 33.3746253652384, -111.967158484221 33.3769797936597, -111.967947513921 33.3771271644286, -111.967595649875 33.3928255605062, -111.960768088815 33.3928611318147, -111.960859750155 33.3872807584878, -111.956618962565 33.3860358074912), (-111.948050620357 33.3618549009457, -111.946076749272 33.3618502470469, -111.946079631341 33.3634573228102, -111.946145452382 33.3635124795081, -111.948059544527 33.3635126848431, -111.948050620357 33.3618549009457), (-111.949388010879 33.3381199673869, -111.949950999338 33.3364205395225, -111.945872093337 33.3364378739141, -111.945894041324 33.3387085920295, -111.947260628098 33.338702043829, -111.947255076676 33.3381286290782, -111.949388010879 33.3381199673869), (-111.963020663957 33.3303401428576, -111.963018169115 33.3287748139084, -111.958781517931 33.3287868463137, -111.958783931424 33.3309054414963, -111.960642939909 33.3309010353682, -111.96064075054 33.3303489738553, -111.963020663957 33.3303401428576))"
1,2,TP04,48536874.236145,35098.199997099,"POLYGON ((-111.960998549983 33.4304846143592, -111.96088516231 33.4290628935377, -111.963443525756 33.429082248073, -111.963455882724 33.4281193000289, -111.962888718845 33.4281141826756, -111.962903363121 33.4272129202353, -111.962779686044 33.4272119608691, -111.96278636998 33.4266942858025, -111.964357775616 33.4267031622531, -111.964361713478 33.4263961364016, -111.965247889312 33.4264056616913, -111.965260831721 33.4255242910246, -111.967444682732 33.4255295903306, -111.967412817986 33.4226961296051, -111.966736729658 33.4226990463123, -111.966347227152 33.4227712095233, -111.965785455766 33.4227825007538, -111.96549400537 33.4229242341137, -111.965243297029 33.4229213343622, -111.965236682965 33.4219406299144, -111.964409737059 33.421940165521, -111.96440197902 33.4192228427471, -111.962919143019 33.4192220121791, -111.962915607998 33.418314165549, -111.960863398948 33.4183203084837, -111.960787232814 33.4087890903645, -111.968806314345 33.4089583576264, -111.975299549468 33.4089824492162, -111.978393249754 33.4090848453566, -111.978388039925 33.4146098144207, -111.978442600588 33.4292080898144, -111.97847320677 33.4328927089515, -111.978342111819 33.4328934757306, -111.978372715302 33.4365780927031, -111.969765934083 33.4365048738641, -111.961353890355 33.4361799939447, -111.961295054978 33.4346588368577, -111.961150028098 33.431278675204, -111.960998549983 33.4304846143592))"
2,3,TP05,34382025.4602661,29061.7135533943,"POLYGON ((-111.954649070029 33.4446795745982, -111.954038999072 33.4446067634933, -111.95293956556 33.4469393020512, -111.952755340347 33.4473289967063, -111.952638721307 33.4475241634727, -111.9524874672 33.447710403361, -111.952341423814 33.4478623471197, -111.952183503468 33.4480449420612, -111.952089336786 33.4482604911469, -111.952071787364 33.4484685206508, -111.951198516067 33.4473578138259, -111.943711541012 33.4473193384212, -111.941507808338 33.4473499478064, -111.939439292421 33.4446784550385, -111.935091142576 33.4447094815611, -111.934941834981 33.4352387907322, -111.943688201543 33.4352797966878, -111.958051719393 33.4361870575571, -111.961353888204 33.4361799930438, -111.961316222657 33.4378686182507, -111.96127313126 33.4397999943106, -111.961259522924 33.4404104036643, -111.964827398676 33.4413330276924, -111.964828928187 33.4438112674849, -111.961183961369 33.4437995952834, -111.961183943503 33.4438004149377, -111.96114541163 33.4489023881816, -111.958032506098 33.4488891700042, -111.95751683951 33.4488869730669, -111.95742799066 33.4488712522718, -111.957360342672 33.4488231786012, -111.957293738235 33.4487891765142, -111.957245082984 33.4487827660134, -111.956149706478 33.4487712784384, -111.956050591132 33.4487415384565, -111.955971856603 33.4486964765273, -111.955910366687 33.4486392487374, -111.955871222874 33.4485812618347, -111.955796261873 33.4484738134363, -111.955731592334 33.448427877673, -111.955650179408 33.4483960912398, -111.955555458949 33.4483839470976, -111.955168680362 33.448382291427, -111.954990542396 33.4483800021781, -111.95488623337 33.4483569787459, -111.954815024166 33.4483224672817, -111.954737419396 33.4482561637214, -111.954690540252 33.4481801510847, -111.954670774233 33.448083494669, -111.954649070029 33.4446795745982))"
3,4,TP01,627275949.853088,209850.301918236,"POLYGON ((-111.943688201543 33.4352797966878, -111.943709898171 33.4317807309242, -111.93990882747 33.4317977581389, -111.93992188387 33.4274079467841, -111.938954940342 33.4274090232643, -111.934970773299 33.4257919046659, -111.934971958348 33.4253460751258, -111.932754931955 33.4246433486785, -111.930855226897 33.422795981637, -111.934963925418 33.4226436857808, -111.934980369553 33.4219385330237, -111.939871730183 33.4219088573493, -111.939843946812 33.4195668005476, -111.93901100134 33.4195683906614, -111.939017605429 33.4190593788944, -111.938137069171 33.4190664766208, -111.938130294809 33.4203991448131, -111.936520581089 33.4204102477259, -111.936515545341 33.4199935538142, -111.935732141766 33.4199908813689, -111.935721425066 33.4194325779813, -111.936116099187 33.4194463795806, -111.936105263902 33.4186995248548, -111.934964583928 33.4187025440904, -111.934962727121 33.4183341692815, -111.934433149584 33.4183384563028, -111.934438482403 33.4170794394733, -111.934159678995 33.4170794790893, -111.934142407808 33.4160726861558, -111.934892992657 33.4160724221867, -111.934891569105 33.4147031171726, -111.930377844702 33.4147366661796, -111.93038031856 33.4143657098985, -111.930626793281 33.414364915967, -111.930621998604 33.4135830037875, -111.930624592395 33.4130408474577, -111.930634638459 33.4109407352531, -111.926287326425 33.4109621283892, -111.926290055199 33.4128737724963, -111.917857816153 33.4128689368437, -111.916514700532 33.4116806290108, -111.915927194626 33.4113595829059, -111.915194184508 33.4111542809607, -111.914594049619 33.4110964512632, -111.914593484826 33.4110198638116, -111.910195078993 33.411042006011, -111.904963444429 33.4110680489795, -111.900433750002 33.41109340704, -111.900453430787 33.4087923603834, -111.900526869514 33.4057655050533, -111.899157508521 33.4057630217729, -111.897764062114 33.4063652071501, -111.897594753845 33.4058878303539, -111.897593763234 33.4038632167927, -111.891949638294 33.4038666534587, -111.891047664952 33.403796498785, -111.891084181045 33.4111428605891, -111.88847767364 33.4111560746617, -111.888776829618 33.4107385488499, -111.889002940944 33.4102409605227, -111.889072774617 33.4096507100447, -111.889075595697 33.4091547046207, -111.888902250724 33.4084602245847, -111.888526838105 33.4075091328424, -111.88856295934 33.4075089372445, -111.888378810229 33.4071429461494, -111.886283208807 33.4020802416618, -111.885282751776 33.4002722580434, -111.885233974901 33.4002724846487, -111.884880176491 33.3996112757339, -111.88421490217 33.3986642482894, -111.883278091703 33.3973427554539, -111.882275150348 33.3959996518336, -111.880410199691 33.3934069445951, -111.880287811244 33.3930334979615, -111.879997855038 33.3879794348103, -111.880051027485 33.3876774648009, -111.880243395902 33.3872567659139, -111.880584179086 33.3866126794471, -111.88103861127 33.3860241989227, -111.881660457529 33.3857786009619, -111.883329724076 33.3852869741932, -111.884251614877 33.3850560674097, -111.884770227572 33.3849508205798, -111.886852840321 33.3846299035028, -111.887266084442 33.3845083251469, -111.887696480639 33.3842935070373, -111.892014959341 33.381652100075, -111.892341209978 33.3813399079222, -111.89284975228 33.3806390607303, -111.89300757375 33.3803256729301, -111.893192944508 33.3797673174732, -111.893268758111 33.3791971196338, -111.893290451146 33.3784594986934, -111.893530764859 33.3767234144197, -111.893945690181 33.3677090128289, -111.894112767288 33.3643215501518, -111.894311206506 33.3639542257719, -111.894318237814 33.3638356389572, -111.894335180877 33.363549840881, -111.894440181648 33.3630114387308, -111.894366975346 33.3568500100851, -111.89391422196 33.3568538756438, -111.893834217369 33.3493442306629, -111.893767018874 33.3470432706018, -111.893414091333 33.3347277410622, -111.89323393072 33.3347296287612, -111.893251554157 33.3340891033593, -111.893431712377 33.3340872156338, -111.893451094327 33.3333192081478, -111.896071660907 33.333294134606, -111.896019106026 33.334791142375, -111.901139854875 33.3347371863627, -111.901087439402 33.3338578948409, -111.902337953198 33.3338474448289, -111.90237866671 33.3302467100268, -111.902411801961 33.3302467643311, -111.902413223102 33.3302467681011, -111.903260867461 33.3302495541348, -111.903317788136 33.3297014681327, -111.903324918386 33.3290470261061, -111.90239231124 33.3290398853868, -111.902410240693 33.3274540483374, -111.90453684378 33.3274311361381, -111.911176012449 33.3273681180518, -111.919199723385 33.3273609685433, -111.919350768514 33.3273211075565, -111.919538727851 33.3272902383913, -111.919734078922 33.3272787638519, -111.919738342118 33.327276377796, -111.919707042469 33.3236786893405, -111.928060738411 33.3236747164857, -111.928002038413 33.3201273051125, -111.936989579275 33.3201181683916, -111.937026189149 33.3234661690337, -111.937005313352 33.3236527438074, -111.945774248508 33.3235680037981, -111.945804533396 33.3272917868116, -111.944545305582 33.3302857694563, -111.943105349408 33.3325483273081, -111.942526131196 33.3346236001715, -111.942534369806 33.3346246282191, -111.94089465669 33.3403790922185, -111.938978196296 33.3482135417986, -111.938131160982 33.3513370857217, -111.938152162351 33.3528478508079, -111.934722965489 33.3528042513451, -111.932962772438 33.3542175622083, -111.932998186237 33.3566126110638, -111.938145699461 33.3566502487288, -111.938146118815 33.3578415491474, -111.937552266233 33.3637092241815, -111.937551573122 33.3637092279049, -111.936791173114 33.3637117276722, -111.936785502722 33.3649036823737, -111.93657728783 33.365563523738, -111.93765580632 33.3658040181707, -111.938184280002 33.3672944314003, -111.93946749214 33.3698534438664, -111.939588810826 33.3698473566041, -111.941146308465 33.3730073997677, -111.941403906005 33.3734521538846, -111.941856939177 33.3741579093478, -111.94206514416 33.3744554349193, -111.943137690335 33.3758874798497, -111.94313802761 33.3760571586695, -111.943468649699 33.3764278278121, -111.943470541065 33.3782213399472, -111.943488308257 33.3851442292258, -111.950176539807 33.385139002518, -111.953747613839 33.3851647688703, -111.956268986804 33.3855585086161, -111.956605433131 33.3855583422104, -111.956618962565 33.3860358074912, -111.960859750155 33.3872807584878, -111.960768088815 33.3928611318147, -111.960768088848 33.3928611976396, -111.967595649875 33.3928255605062, -111.967947513921 33.3771271644286, -111.969751520473 33.3774640848051, -111.970454116099 33.3774967922656, -111.97178492326 33.37743904808, -111.973192471603 33.3773277128298, -111.973484292192 33.3772927311327, -111.973716747345 33.377234929358, -111.974910821511 33.3767830001712, -111.975212721127 33.3767100593071, -111.975563218324 33.3767152704286, -111.976384275951 33.3767908167993, -111.976900010488 33.376755748914, -111.97761913304 33.3766209165196, -111.978156851223 33.3766760543597, -111.97816969285 33.3781869833642, -111.978193278603 33.3781868860142, -111.978192508878 33.3783942098742, -111.978228438223 33.3784243047409, -111.978222576716 33.3800113921635, -111.978188178073 33.3800115056993, -111.978174733493 33.3836527063076, -111.97825826739 33.3836523069078, -111.978251953784 33.385362988067, -111.978201737671 33.3853632411045, -111.978182136879 33.3906262987929, -111.978174622496 33.3925362935368, -111.978109113202 33.3925914150645, -111.978485624596 33.3925905590317, -111.978418708252 33.4034787372772, -111.978393249754 33.4090848453566, -111.975299549468 33.4089824492162, -111.968806314345 33.4089583576264, -111.960787232814 33.4087890903645, -111.960863398948 33.4183203084837, -111.962915607998 33.418314165549, -111.962919143019 33.4192220121791, -111.96440197902 33.4192228427471, -111.964409737059 33.421940165521, -111.965236682965 33.4219406299144, -111.965243297029 33.4229213343622, -111.96549400537 33.4229242341137, -111.965785455766 33.4227825007538, -111.966347227152 33.4227712095233, -111.966736729658 33.4226990463123, -111.967412817986 33.4226961296051, -111.967444682732 33.4255295903306, -111.965260831721 33.4255242910246, -111.965247889312 33.4264056616913, -111.964361713478 33.4263961364016, -111.964357775616 33.4267031622531, -111.96278636998 33.4266942858025, -111.962779686044 33.4272119608691, -111.962903363121 33.4272129202353, -111.962888718845 33.4281141826756, -111.963455882724 33.4281193000289, -111.963443525756 33.429082248073, -111.96088516231 33.4290628935377, -111.960998549983 33.4304846143592, -111.961150028098 33.431278675204, -111.961295054978 33.4346588368577, -111.961353883902 33.436179993947, -111.957966315856 33.4361816676838, -111.943688201543 33.4352797966878), (-111.932688814989 33.3419276142517, -111.932683258581 33.3411996537105, -111.93070156837 33.3412032044928, -111.930694091649 33.3399528688579, -111.93267478009 33.3399603165823, -111.932662957271 33.3382312835276, -111.932646400693 33.3346485380109, -111.932741106444 33.3344970839291, -111.932641234797 33.327960786342, -111.931589408509 33.3279691155461, -111.931581689492 33.3274447736354, -111.931581217942 33.327444773692, -111.928597027633 33.327471959159, -111.9286262024 33.3291935105733, -111.92862615084 33.3291935051679, -111.926734856011 33.3292059019071, -111.926720072601 33.3283014278157, -111.924858427957 33.3282853371135, -111.924819591477 33.3285586752494, -111.924894604996 33.3292055233815, -111.924574657577 33.3292057479384, -111.924574735645 33.3300109203362, -111.924847536054 33.330010901778, -111.924809934014 33.3300986325322, -111.924054858086 33.3300991251583, -111.924102365347 33.3338262234144, -111.924105791372 33.3340955810658, -111.926164258509 33.3340947356581, -111.926162587367 33.3337513287737, -111.928703407115 33.3337490337826, -111.92869932094 33.3335079740521, -111.929470405295 33.3335002206581, -111.929483965879 33.3346570010159, -111.929235747844 33.334657662084, -111.929242795403 33.335970387928, -111.929563721396 33.3359696498875, -111.929571612959 33.3382368018076, -111.929590593366 33.3419333728629, -111.932688814989 33.3419276142517), (-111.92090971477 33.3419119759907, -111.920907745833 33.3410084548324, -111.928185215768 33.3410262919416, -111.928160300691 33.3361854200991, -111.927866978039 33.3361618840772, -111.927488706633 33.3361020921778, -111.92668383258 33.335287024066, -111.926684668501 33.3346687497321, -111.924113094568 33.3346836861489, -111.919802403554 33.3347083260319, -111.919815543026 33.3383099896117, -111.919815419482 33.3383099373151, -111.913343624551 33.3382704120295, -111.911401876981 33.3382584863327, -111.911405756985 33.3409770023274, -111.91550937338 33.3409925305888, -111.915511758206 33.3418955144161, -111.91982867382 33.3419087665033, -111.92090971477 33.3419119759907))"
4,5,TP02,199578657.573242,111025.980803771,"POLYGON ((-111.939381200832 33.4584705122271, -111.935018655365 33.4584711822663, -111.926526563275 33.458599774853, -111.926529815018 33.4584071749211, -111.926495372923 33.4583922770499, -111.926483858966 33.4583530629953, -111.926137195435 33.4583582981711, -111.926256724585 33.4510897171827, -111.924645462939 33.4510924723571, -111.924645589519 33.4511474283702, -111.920041315341 33.4511551835338, -111.920041375604 33.4511002248057, -111.917791519335 33.4511069904371, -111.917801118752 33.4476346925154, -111.915789771821 33.4476363076763, -111.915769595234 33.4476363237619, -111.915031894203 33.4490267581852, -111.914842359505 33.4493839873679, -111.914298424082 33.4504091637427, -111.914181761879 33.4510265459184, -111.915186266545 33.4510244078509, -111.915235467761 33.4510133120874, -111.915235192956 33.4511094912092, -111.909274423872 33.4511220470024, -111.909307918311 33.4498714623745, -111.90946469901 33.4440191495603, -111.909502440107 33.442593372706, -111.910577837868 33.4426253036087, -111.910571108165 33.4429926994761, -111.911099457478 33.4429927694251, -111.911097436159 33.4431996921381, -111.912179165833 33.443199828013, -111.912271143335 33.4403011639234, -111.914591841712 33.4401679329451, -111.914951299791 33.4390380020631, -111.914869581176 33.4390166683993, -111.915501478523 33.4374422751453, -111.91552908727 33.4367348337094, -111.909654060788 33.4367600513738, -111.905252843921 33.4367615754604, -111.905107291251 33.4345232953056, -111.904394554366 33.4346077949391, -111.901468413737 33.4349008140931, -111.901468358517 33.4348412682471, -111.900747725917 33.4348960645539, -111.89651836681 33.4349039570222, -111.896282150032 33.4348340462599, -111.896186109104 33.4345985152168, -111.896102806298 33.4342588429688, -111.89604963177 33.433033353903, -111.891903532266 33.4330411109571, -111.891773623093 33.4292998102442, -111.882862920783 33.429370854165, -111.882861510487 33.4292471858491, -111.88273044496 33.4292450067015, -111.882798558486 33.4263629871607, -111.882922246984 33.4263651939851, -111.883024903221 33.4220976111732, -111.877460035435 33.4221189596625, -111.878384979849 33.4205566848073, -111.878635743593 33.4201957836955, -111.88239632259 33.4173499840693, -111.883008149056 33.4167746291612, -111.88310865842 33.4166326979896, -111.884351318274 33.4153957896191, -111.885818462619 33.4139392362414, -111.88617408173 33.4136013300375, -111.887109814257 33.412712180062, -111.887813606056 33.4120250968176, -111.887994933114 33.4118056416155, -111.888431930981 33.4112336670184, -111.88847767364 33.4111560746617, -111.891084181045 33.4111428605891, -111.891047664952 33.403796498785, -111.891949638294 33.4038666534587, -111.897593763234 33.4038632167927, -111.897594753845 33.4058878303539, -111.897764062114 33.4063652071501, -111.899157508521 33.4057630217729, -111.900526869514 33.4057655050533, -111.900453430787 33.4087923603834, -111.900433750002 33.41109340704, -111.904963444429 33.4110680489795, -111.904970555635 33.4110680496503, -111.91020076774 33.4110420099146, -111.910202190196 33.4110420027751, -111.914599174647 33.4110198639067, -111.914599738371 33.4110964513583, -111.915199874338 33.4111542810283, -111.915932883395 33.4113595829399, -111.916520390397 33.4116806290179, -111.917863506095 33.4128689367891, -111.926295745141 33.412873772055, -111.926298588642 33.4128701929578, -111.926295860757 33.4109585488497, -111.93064317261 33.4109371554146, -111.930626792709 33.4143613370913, -111.930380317998 33.4143621310228, -111.930377844139 33.4147330873041, -111.9349528229 33.4146961388672, -111.934959792081 33.4160690255462, -111.934150941242 33.416069106079, -111.934168212527 33.4170758990118, -111.934447016999 33.4170758593765, -111.934441683228 33.4183348762072, -111.934971261818 33.4183305891493, -111.934973118661 33.4186989639583, -111.936113798588 33.418695945546, -111.93612463287 33.4194427993699, -111.935729958764 33.4194289986995, -111.935740675518 33.4199873011849, -111.936524080136 33.4199899735762, -111.93652911485 33.4204066683897, -111.938138829578 33.4203955644642, -111.938145602734 33.4190628962709, -111.939026138955 33.4190557984839, -111.939019534916 33.4195648102517, -111.939852480354 33.4195632200806, -111.939880263952 33.4219052768817, -111.934988904602 33.4219349528923, -111.934972459461 33.4226401056511, -111.930863761124 33.4227924026917, -111.932763466285 33.4246397687019, -111.934980492655 33.425342494997, -111.934979288695 33.42579536145, -111.938954940342 33.4274090232643, -111.93992188387 33.4274079467841, -111.93990882747 33.4317977581389, -111.943709898171 33.4317807309242, -111.943688201543 33.4352797966878, -111.934941834981 33.4352387907322, -111.935091142576 33.4447094815611, -111.939439292421 33.4446784550385, -111.941507808338 33.4473499478064, -111.940516026688 33.449260566332, -111.940112806536 33.4498829582782, -111.940694063422 33.4510636671386, -111.940986251401 33.451568549652, -111.942069319376 33.4523383190402, -111.943263642502 33.454953644793, -111.942881900959 33.455872360293, -111.942273558831 33.4565091794203, -111.942064921472 33.4568427218469, -111.942075761641 33.4588270213808, -111.941651561091 33.4614678600677, -111.940568526329 33.4633721369663, -111.939572454722 33.4644112915939, -111.939306316543 33.4653188102493, -111.939381200832 33.4584705122271), (-111.916758140215 33.4409358003597, -111.916670833005 33.4419665364609, -111.917407722043 33.4419645153604, -111.917410689363 33.4409340074026, -111.916886236313 33.4409354485394, -111.916758140215 33.4409358003597), (-111.918099333593 33.4367237136377, -111.918089603124 33.4404605928106, -111.923732992957 33.440448453195, -111.923667407659 33.4365471764872, -111.922955269706 33.4365504336979, -111.922957492491 33.4356072809374, -111.922849117505 33.4356194269269, -111.922218731786 33.4356194549222, -111.922221207807 33.4367049450315, -111.918099333593 33.4367237136377), (-111.916841759386 33.439288421462, -111.916824171997 33.4402623586306, -111.91782234992 33.4402596176141, -111.917851747915 33.4386218162433, -111.917450336941 33.4386294379089, -111.917183977792 33.4392865440741, -111.916841759386 33.439288421462))"
